category_name,brand_name,waves,mean_p,obs_var,noise_var,signal_var,reliability,max_attainable_r
Female Skincare,Go-to-skincare,42,0.14132078772280954,0.0021115549640701435,5.094245397475173e-4,0.0016021304243226263,0.7587443621332157,0.8710593333023966
Female Skincare,Grown Alchemist,43,0.11311303527555813,4.8690783459730513e-4,4.157657986568592e-4,7.114203594044594e-5,0.14610986081027763,0.38224319589794875
Female Skincare,Kora Organics,43,0.20283525366667443,0.0013507769987223942,6.654011925737896e-4,6.853758061486046e-4,0.5073937495210933,0.7123157653183687
Female Skincare,Rationale,43,0.08401686838746511,3.96273820730873e-4,3.199446482681504e-4,7.632917246272263e-5,0.19261724713972747,0.43888181454661285
Female Skincare,Ren Skincare,39,0.11813626018687179,3.896138551547425e-4,4.387842052513758e-4,0,0,0
Feminine Hygiene Products (Female Only),Barely Intimate,7,0.05404636132442857,4.089465525401046e-4,2.32177913640518e-4,1.7676863889958658e-4,0.43225364733268223,0.657459996754694
Feminine Hygiene Products (Female Only),Canesten,17,0.31431433525411767,0.0010414544641638803,8.949598903152987e-4,1.4649457384858166e-4,0.14066344606453163,0.3750512579162102
Feminine Hygiene Products (Female Only),Femfresh,17,0.4127733564752353,6.13474573387237e-4,0.001012548027841868,0,0,0
Feminine Hygiene Products (Female Only),Replens,17,0.05901093827047059,2.6060465248999465e-4,2.371019497045053e-4,2.3502702785489343e-5,0.09018527705061473,0.300308636323724
Feminine Hygiene Products (Female Only),Summer’s Eve,17,0.07191854658611764,5.973525963817932e-4,2.794970427703975e-4,3.1785555361139574e-4,0.5321070930915329,0.7294567109099298
