lag_months,mean_r,n_brands,run
-3,-0.02956647579827098,362,placebo_57
-2,-0.009734627302507183,371,placebo_57
-1,-0.021803983789423782,380,placebo_57
0,-0.026765299133656863,380,placebo_57
1,-0.028731790889230904,380,placebo_57
2,-0.03666205085530405,371,placebo_57
3,-0.02219339813092262,362,placebo_57
-3,-0.0141575917259153,358,placebo_58
-2,-0.012474531063902974,367,placebo_58
-1,-0.01341016145824991,377,placebo_58
0,-0.011736458448775825,377,placebo_58
1,-0.024047528750279126,377,placebo_58
2,-0.030503960294524325,367,placebo_58
3,-0.02817676140610226,358,placebo_58
-3,0.012366982522132518,359,placebo_59
-2,0.004169425489864683,368,placebo_59
-1,0.010420183153919172,378,placebo_59
0,0.016493390787880872,378,placebo_59
1,0.021527600775882987,378,placebo_59
2,0.019459772330633947,368,placebo_59
3,0.025772221353557126,359,placebo_59
-3,-0.017428268118121922,360,placebo_60
-2,-0.0177807797574698,369,placebo_60
-1,-0.007287484265709373,379,placebo_60
0,-0.00805686718243189,380,placebo_60
1,-0.023753772189910954,380,placebo_60
2,-0.022178508264812775,370,placebo_60
3,-0.0041831304288027496,361,placebo_60
-3,-0.006020273882747719,359,placebo_61
-2,-0.017082066222188292,368,placebo_61
-1,-0.019634894353093946,377,placebo_61
0,-0.030204256851244435,377,placebo_61
1,-0.039530248808585605,377,placebo_61
2,-0.04359099553533769,368,placebo_61
3,-0.02218711646291096,359,placebo_61
-3,-0.014189235105564404,360,placebo_62
-2,-0.011116806079772591,369,placebo_62
-1,-0.007661051380553806,379,placebo_62
0,-0.0010620418382345017,379,placebo_62
1,0.015982771672054204,379,placebo_62
2,0.02275388604787424,369,placebo_62
3,0.016113029485345057,360,placebo_62
-3,0.008037588862758535,364,placebo_63
-2,0.016631015118177172,373,placebo_63
-1,0.020405739755522522,383,placebo_63
0,0.023153726751412557,383,placebo_63
1,0.04006270924217961,383,placebo_63
2,0.05444354617601875,373,placebo_63
3,0.049592783701866684,364,placebo_63
-3,0.01641781107689063,362,placebo_64
-2,0.015423485743145626,371,placebo_64
-1,0.0127781153230502,381,placebo_64
0,0.008183736169390733,381,placebo_64
1,0.001320125798771584,381,placebo_64
2,-0.0036160175171075395,371,placebo_64
3,-0.00523495389338699,362,placebo_64
-3,-0.00312222451793083,363,placebo_65
-2,-0.0032600035124211945,371,placebo_65
-1,-0.007431671885803966,381,placebo_65
0,-0.0035144996263618312,381,placebo_65
1,0.0038683817035529634,381,placebo_65
2,0.012026150586957886,371,placebo_65
3,0.01028072882905987,363,placebo_65
-3,-7.47379985651599e-4,360,placebo_66
-2,-0.012230029010612606,369,placebo_66
-1,-0.006940624673224579,379,placebo_66
0,-0.005085913188325643,380,placebo_66
1,-0.013453971343014327,380,placebo_66
2,-0.014146354665530499,370,placebo_66
3,-0.009555645631945046,361,placebo_66
-3,-0.01436812838922604,360,placebo_67
-2,-0.01805450624925241,369,placebo_67
-1,-0.011862955409938234,379,placebo_67
0,-0.0029474848846574426,379,placebo_67
1,-0.01488837247241392,379,placebo_67
2,-0.029128277203576136,369,placebo_67
3,-0.03910891313001257,360,placebo_67
-3,-0.013475380769464581,360,placebo_68
-2,-0.01789900195605547,368,placebo_68
-1,-0.01041410592039592,378,placebo_68
0,0.005131586684420901,378,placebo_68
1,0.005863246344369884,378,placebo_68
2,-0.0025180400913708944,368,placebo_68
3,0.006680494790455855,360,placebo_68
-3,7.050351157299532e-4,361,placebo_69
-2,0.01142210263649557,370,placebo_69
-1,0.033667089084356096,380,placebo_69
0,0.0456685093845146,380,placebo_69
1,0.030933974901480296,380,placebo_69
2,-0.002065389161085838,370,placebo_69
3,-0.0354524548731959,361,placebo_69
-3,-0.04254427751412706,362,placebo_70
-2,-0.03422080761583402,370,placebo_70
