category_name,brand_name,sos,soc,soa,sop,consideration,awareness,conversion,waves
Homeware,Sheet Society,0.009951116806143455,0.01892303323284557,0.020672760654079612,0.015983677459541958,0.045166216767,0.07759584895,0.5847797934203631,21
Homeware,Sheridan,0.057997659430503314,0.19285079008705688,0.17950521831298846,0.2379879113190725,0.46887874205200003,0.6864255772684286,0.6823190626918304,21
Homeware,Temple & Webster,0.19362208369730896,0.112064743069482,0.11523580528017052,0.10099805472453137,0.3113454430517619,0.5074667988278095,0.6124277147923195,21
Household Cleaners (Indoor),Ajax,0.008563617462601699,0.17786405583565032,0.17178423741373913,0.1767500305702308,0.5861120687658333,0.8218350430880417,0.7129363220609874,24
Household Cleaners (Indoor),Bosisto's,0,0.07180287814412588,0.07801486758454637,0.04750673583669309,0.23642052028045832,0.372287645913875,0.6333945805396798,24
Household Cleaners (Indoor),Dettol,0.23241212639124548,0.15712065445443865,0.13866998907139863,0.16929776870032742,0.5526394164225,0.7115087735695417,0.7765901651289,24
Household Cleaners (Indoor),Earth Choice,0.05954158803066352,0.14052332097989728,0.14559286541372451,0.15571512223974973,0.461290646129875,0.6935197551174167,0.6644255627211033,24
Household Cleaners (Indoor),Earthwise,0.0034540011161789787,0.013279647766439466,0.020578535936710492,0.00400826453856789,0.04672262878420833,0.10756527254875001,0.43538948386320375,24
Household Cleaners (Indoor),Ecostore,0.08590736011292181,0.029173438413221682,0.0378311841595625,0.014554720385622725,0.09549678787416667,0.1806247219675,0.5277728896351597,24
Household Cleaners (Indoor),Koala Eco,0.060692550517673347,0.009660101792413705,0.01448559606934514,0.0064010681856870874,0.031256623086208336,0.06880706921379166,0.45772545508276036,24
Household Cleaners (Indoor),Koh,0.11795222708645768,0.036073440112258034,0.045705247874926656,0.044036147467510195,0.118600854411875,0.21912690607620833,0.5431137195236201,24
Household Cleaners (Indoor),Lucent Globe,0.014836075483920194,0.003215120130923887,0.004041644441527616,0.003994972697634608,0.01129338149775,0.021113453232208333,0.5535763511063562,24
Household Cleaners (Indoor),Organic Choice,0.02242732371763862,0.01795836701061441,0.024000193368502502,0.010986626286081429,0.058878727080333336,0.11365145778033334,0.5148619331485487,24
Household Cleaners (Indoor),Pine O Cleen,0.006721442563586028,0.20242983797739741,0.17627268905849727,0.27437672763085513,0.6664090317337084,0.8425107074866667,0.7902318393078651,24
Household Cleaners (Indoor),Thankyou,0.04653541182427318,0.03393324088208158,0.03702604215090106,0.010597469027461823,0.11941757978944444,0.19368571396144443,0.6170017780156084,9
Household Cleaners (Indoor),White King,0.2747066039408921,0.12180990833830255,0.12113736073502467,0.08096355128770943,0.42843054748945836,0.6214555603424583,0.6894091257641949,24
Household Cleaners (Indoor),Zero Co,0.060409966498011024,0.006364263713536138,0.008000823065906626,0.0074342132880322615,0.021068252466375,0.038222011408208335,0.5571687734025763,24
Kitchenware Retailers,House,0.9896916771380284,0.2778170620495104,0.2478491083106802,0.29457132150534626,0.4143914791995,0.55092754191075,0.7525986407754989,28
Kitchenware Retailers,Kitchen Warehouse,0.0049977540603928505,0.19409723529987644,0.2014334847347118,0.17356102876123317,0.29037793818814284,0.44788174982375,0.647748211858069,28
Kitchenware Retailers,Minimax,7.860389246940649e-4,0.04738649910843902,0.058517262159843306,0.036834250718565456,0.07091270254414285,0.13003173995407144,0.5456764740837629,28
